owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
NAKED TREE CELLARS LLC,ODD SIDE ALES,MI-S-20132,41 WASHINGTON AVE STE 160,GRAND HAVEN,MI,49417,OTTAWA,43.0365071,-86.2190423
RUDBECKIA WINERY LLC,,MI-S-20138,3379 LAKE GROVE RD STE B,PETOSKEY,MI,49770,EMMET,45.7795325,-84.7328110494403
"BLAKE FARMS HARD APPLE CIDER, LLC",BLAKE'S DISTILLING CO.,MI-S-20145,17985 ARMADA CENTER RD,ARMADA,MI,48005,MACOMB,42.36412165,-83.08849193200862
"THREE BRIDGES DISTILLERY AND TAPROOM, LLC",THREE BRIDGES DISTILLERY & TAPROOM,MI-S-20146,240 E MAIN ST UNIT A,MIDLAND,MI,48640,MIDLAND,43.6607817,-84.2401667
RIVER RAISIN DISTILLERY LLC,,MI-S-20091,480 W MAIN ST,MANCHESTER,MI,48158,,42.3893748,-83.50637874238865
"IRON SHOE DISTILLING, LLC",,MI-S-20092,3 N THIRD ST,NILES,MI,49120,BERRIEN,41.7903488,-86.2498923
"COTTON BREWING COMPANY, LLC",,MI-S-20093,,ADRIAN,MI,49221,,41.874695849999995,-84.0319347
HOPLAND BREWING L.L.C.,HOPLAND BREWING,MI-S-20095,977 BUTTERNUT DR STE 4,HOLLAND,MI,49424,,42.828009,-86.0961055
"MONSOON COFFEE COMPANY, LLC",HARSENS ISLAND DISTILLERY,MI-S-20096,3066 S CHANNEL DR,HARSENS ISLAND,MI,48028,,42.36412165,-83.08849193200862
"BIG HART BREWERY, INC.",BIG HART BREWING CO.,MI-S-20099,4086 W POLK RD,HART,MI,49420,OCEANA,43.9557973,-86.4005823
VERITAS VINEYARD LLC,GRAND RIVER BREWERY,MI-S-20100,101 W MICHIGAN AVE,MARSHALL,MI,49068,CALHOUN,42.33568395,-85.28456432388842
"MIDLAND BREWING COMPANY, LLC",RED KEG DISTILLERY,MI-S-20101,5011 N SAGINAW RD,MIDLAND,MI,48642,MIDLAND,43.6607817,-84.2401667
"NORTH PIER BREWING COMPANY, LLC",,MI-S-20102,725 NORTH SHORE DR,BENTON HARBOR,MI,49022,,41.7903488,-86.2498923
"NORTH PIER BREWING COMPANY, LLC",,MI-S-20103,670 N SHORE DR,BENTON HARBOR,MI,49022,,41.7903488,-86.2498923
GREAT FRIENDS BREWING COMPANY LLC,,MI-S-20104,3756 PLAZA DR,ANN ARBOR,MI,48108,WASHTENAW,42.3893748,-83.50637874238865
EASTBANK SPIRITS LLC,,MI-S-20105,13124 CHARLEVOIX ST,DETROIT,MI,48215,,42.36412165,-83.08849193200862
"NORTH PIER BREWING COMPANY, LLC",,MI-S-20107,107 HIGMAN PARK RD,BENTON HARBOR,MI,49022,,41.7903488,-86.2498923
ATLAS DISTILLING COMPANY LLC,ALÉVRI MILL DISTILLING CO.,MI-S-20108,148 W MICHIGAN AVE,CLINTON,MI,49236,LENAWEE,41.874695849999995,-84.0319347
BWD'Z L.L.C.,,MI-S-20111,550 S WISCONSIN AVE,GAYLORD,MI,49735,OTSEGO,45.0239782,-84.6913696
"WEISS DISTILLING CO, LLC",WDC,MI-S-20112,34 E 14 MILE RD,CLAWSON,MI,48017,OAKLAND,42.36412165,-83.08849193200862
LIQUID ART LLC,TILTED AXIS BREWRY,MI-S-20113,303 W NEPESSING ST,LAPEER,MI,48446,LAPEER,43.0515158,-83.2983784
"GOLDEN AGE BREWING, LLC",CRESTON BREWERY,MI-S-20114,"1504 PLAINFIELD AVE., NE",GRAND RAPIDS,MI,49505,,43.1777258,-85.2909243
GF GRAINS LLC,,MI-S-20115,3480 WARREN WOODS RD,THREE OAKS,MI,49128,,41.7903488,-86.2498923
"SCHMUCKS BREWING COMPANY, LLC",SCHMUCKS BREWING COMPANY,MI-S-20119,4944 MASON RD,HOWELL,MI,48843,LIVINGSTON,42.6284826,-83.8746715
